,Player_Id,Year_x,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,Year_y,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
0,OdigOw00,2015,3,74,NYG,Owamagbe Odighizuwa,DE,DE,0,23.0,2016.0,0,0,0,0.0,0.0,14.0,,,,,,,,,,,,3.0,,,UCLA,2015.0,UCLA,DE,75.5,267.0,11.0,33.75,,4.62,25.0,39.0,127.0,4.19,7.36,11.75
1,FlowTr00,2015,4,101,NWE,Trey Flowers,DE,DE,0,22.0,2016.0,0,0,0,0.0,0.0,11.0,,,,,,,,,,,,14.0,,4.0,Arkansas,2015.0,Arkansas,DE,74.13,266.0,10.0,34.25,,4.93,28.0,36.5,121.0,4.4,7.34,12.03
2,HardMa00,2015,4,135,CIN,Marcus Hardison,DE,DE,0,23.0,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,,,,,,,,,,,,,,,
3,RiddSh00,2015,5,158,ARI,Shaquille Riddick,DE,DE,0,22.0,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,2015.0,West Virginia,DE,78.0,236.0,,,,4.82,,,,,,
4,RussRy00,2015,5,163,DAL,Ryan Russell,DE,DE,0,23.0,2016.0,0,0,0,0.0,0.0,3.0,,,,,,,,,,,,1.0,,,Purdue,2015.0,Purdue,DE,76.25,269.0,10.25,33.38,,4.75,25.0,32.5,119.0,4.47,7.25,12.26
5,DuboB.00,2015,6,193,MIN,B.J. Dubose,DE,DE,0,23.0,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,2015.0,Louisville,DE,76.0,284.0,9.75,33.0,,5.06,26.0,,,,,
6,RingCh00,2015,6,210,GNB,Christian Ringo,DE,DE,0,23.0,2016.0,0,0,0,0.0,0.0,4.0,,,,,,,,,,,,1.0,,,La-Lafayette,,,,,,,,,,,,,,,
7,IfedMa00,2015,7,227,STL,Martin Ifedi,DE,DE,0,24.0,,0,0,0,,,,,,,,,,,,,,,,,,Memphis,2015.0,Memphis,DE,75.13,275.0,10.0,33.88,,4.88,16.0,31.0,111.0,4.58,7.39,
8,MihaBr00,2015,7,237,PHI,Brian Mihalik,DE,DE,0,23.0,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,2015.0,Boston College,DE,81.0,288.0,,,,4.96,,,,,,
9,WebsLa00,2014,4,136,DET,Larry Webster,DE,DE,0,24.0,,0,0,0,,,,,,,,,,,,,,,,,,Bloomsburg,2014.0,Bloomsburg,DE,78.0,252.0,10.13,33.5,,4.58,17.0,36.5,123.0,4.44,7.29,
10,WebsLa00,2014,4,136,DET,Larry Webster,DE,DE,0,24.0,,0,0,0,,,,,,,,,,,,,,,,,,Bloomsburg,1992.0,Maryland,DE,77.0,285.0,9.63,32.63,,5.18,23.0,31.5,109.0,4.75,,
11,GardBe00,2014,7,231,DAL,Ben Gardner,DE,DE,0,24.0,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,,,,,,,,,,,,,,,
12,RamsKa00,2014,7,243,SFO,Kaleb Ramsey,DE,DE,0,25.0,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,,,,,,,,,,,,,,,
13,SamxMi00,2014,7,249,STL,Michael Sam,DE,DE,0,24.0,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,2014.0,Missouri,DE,74.0,261.0,9.38,33.38,,4.91,17.0,25.5,113.0,4.7,7.8,
14,MontSa00,2013,3,95,HOU,Sam Montgomery,DE,DE,0,23.0,,0,0,0,,,,,,,,,,,,,,,,,,LSU,2013.0,Louisiana State,DE,75.25,262.0,9.25,33.78,24.0,4.81,,34.5,114.0,4.51,7.18,
15,WillTr02,2013,4,124,HOU,Trevardo Williams,DE,DE,0,22.0,2014.0,0,0,0,0.0,,3.0,,,,,,,,,,,,5.0,,1.0,Connecticut,,,,,,,,,,,,,,,
16,JenkBr00,2013,5,162,WAS,Brandon Jenkins,DE,DE,0,23.0,2013.0,0,0,0,0.0,0.0,5.0,,,,,,,,,,,,1.0,,,Florida St.,,,,,,,,,,,,,,,
17,JohnRu02,2013,6,183,NOR,Rufus Johnson,DE,DE,0,23.0,2015.0,0,0,0,0.0,,1.0,,,,,,,,,,,,1.0,,,Tarleton St.,,,,,,,,,,,,,,,
18,LewiKa00,2013,6,200,BAL,Kapron Lewis-Moore,DE,DE,0,23.0,2015.0,0,0,0,0.0,0.0,5.0,,,,,,,,,,,,3.0,,,Notre Dame,,,,,,,,,,,,,,,
19,KrugJo00,2013,7,212,PHI,Joe Kruger,DE,DE,0,21.0,,0,0,0,,,,,,,,,,,,,,,,,,Utah,2013.0,Utah,DE,78.25,269.0,10.0,34.38,,4.83,24.0,34.0,117.0,4.46,7.17,
20,BuchMi00,2013,7,226,NWE,Michael Buchanan,DE,DE,0,22.0,2014.0,0,0,0,0.0,0.0,18.0,,,,,,,,,,,,7.0,,2.0,Illinois,2013.0,Illinois,DE,77.38,255.0,9.88,34.08,,4.78,22.0,33.0,113.0,4.44,6.91,
21,KingDa00,2013,7,239,PHI,David King,DE,DE,0,23.0,2016.0,0,0,0,0.0,,9.0,,,,,,,,,,,,2.0,,1.5,Oklahoma,,,,,,,,,,,,,,,
22,BequJa00,2012,3,90,NWE,Jake Bequette,DE,DE,0,23.0,2013.0,0,0,0,0.0,0.0,8.0,,,,,,,,,,,,,,,Arkansas,2012.0,Arkansas,DE,76.63,274.0,9.25,32.0,,4.75,,34.0,113.0,4.07,6.9,
23,FuggTi00,2012,7,214,IND,Tim Fugger,DE,DE,0,23.0,2012.0,0,0,0,0.0,,,,,,,,,,,,,,,,,Vanderbilt,2012.0,Vanderbilt,DE,75.0,248.0,,,,4.64,,,,,,
24,GuytTr00,2012,7,219,MIN,Trevor Guyton,DE,DE,0,,,0,0,0,,,,,,,,,,,,,,,,,,California,2012.0,California,DE,74.63,285.0,10.25,33.0,,5.01,,31.0,105.0,4.53,7.45,
25,ElmoRi00,2011,6,197,GNB,Ricky Elmore,DL,DE,0,23.0,2012.0,0,0,0,0.0,,,,,,,,,,,,,,,,,Arizona,2011.0,Arizona,DE,76.5,255.0,9.75,31.0,,4.88,26.0,31.5,106.0,4.32,7.25,
