,Player_Id,Year_x,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,Year_y,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
0,WattJ.00,2011,1,11,HOU,J.J. Watt,DE,DE,88,22,2016,4,4,5,81,81,83,,,,,,,,,3.0,4.0,3.0,299,1.0,76,Wisconsin,,,,,,,,,,,,,,,
1,PeppJu99,2002,1,2,CAR,Julius Peppers,DE,DE,60,22,2016,3,9,14,126,68,228,,,,,,,,,0.0,0.0,0.0,512,11.0,140.5,North Carolina,,,,,,,,,,,,,,,
2,TaylJa03,1997,3,73,MIA,Jason Taylor,DE,DE,59,23,2011,3,6,12,119,112,233,,,,,,,,,0.0,0.0,0.0,525,8.0,139.5,Akron,1997.0,Akron,DE,78.0,243.0,10.0,34.63,,4.67,18.0,32.0,111.0,4.07,7.27,
3,SeymRi00,2001,1,6,NWE,Richard Seymour,DE,DE,58,21,2012,3,7,9,90,71,164,,,,,,,,,,,,324,2.0,57.5,Georgia,,,,,,,,,,,,,,,
4,SmitBr00,1985,1,1,BUF,Bruce Smith HOF,DE,DE,58,22,2003,8,11,18,148,139,279,,,,,,1.0,0.0,0.0,,,,2,200.0,Virginia Tech,,,,,,,,,,,,,,,,
5,AlleJa22,2004,4,126,KAN,Jared Allen,DE,DE,57,22,2015,4,5,12,99,32,187,,,,,,,,,2.0,3.0,2.0,498,6.0,136,Idaho St.,2004.0,Idaho State,DE,78.0,265.0,9.38,32.0,,4.76,13.0,33.0,120.0,4.34,7.11,
6,CartKe00,1995,1,6,STL,Kevin Carter,DE,DE,54,22,2008,1,2,14,90,46,224,,,,,,,,,,,,446,,104.5,Florida,1995.0,Florida,DE,77.6,274.0,10.63,33.25,,,,,,,,
7,DoleCh00,1985,1,4,MIN,Chris Doleman HOF,DE,DE,54,23,1999,2,8,13,114,86,232,,,,,,,,,,,,8,150.5,Pittsburgh,,,,,,,,,,,,,,,,
8,KearJe00,1999,1,16,TEN,Jevon Kearse,DE,DE,51,23,2009,1,3,8,72,55,133,,,,,,,,,,,,241,1.0,74,Florida,,,,,,,,,,,,,,,
9,ColeTr20,2005,5,146,PHI,Trent Cole,DE,DE,48,22,2016,0,2,9,69,67,171,,,,,,,,,,,,457,1.0,88.5,Cincinnati,,,,,,,,,,,,,,,
