,Player_Id,Year_x,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,Year_y,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
0,PaceOr00,1997,1,1,STL,Orlando Pace HOF,T,T,71,21,2009,3,7,12,106,103,169,,,,,,,,,,,,1,,,Ohio St.,,,,,,,,,,,,,,,
1,WebbRi00,1990,1,9,MIA,Richmond Webb,T,T,67,23,2002,2,7,11,101,97,184,,,,,,,,,,,,,,Texas A&M,,1990,Texas A&M,OT,78.1,291,10.88,34.63,,5.12,15,29.5,103,4.7,,
2,MankLo20,2005,1,32,NWE,Logan Mankins,G,G,62,23,2015,1,7,11,102,94,161,,,,,,,,,1,-9,0,5,,,Fresno St.,2005,Frenso State (CA),OG,76.1,307,11.38,33.38,,5.14,21,30,95,4.44,7.52,
3,EvanJa21,2006,4,108,NOR,Jahri Evans,T,T,61,23,2016,4,6,11,103,103,163,,,,,,,,,,,,6,,,Bloomsburg,,,,,,,,,,,,,,,
4,BoseTo00,1995,1,2,JAX,Tony Boselli,T,T,60,23,2001,3,5,6,63,63,91,,,,,,,,,,,,,,,USC,1995,Southern California,OT,78.9,323,10,33.5,,5.23,26,30,102,4.6,,
5,OgdeJo00,1996,1,4,BAL,Jonathan Ogden HOF,T,T,58,22,2007,4,11,11,94,94,177,,,,,,,,,2,2,2,,,,UCLA,,,,,,,,,,,,,,,
6,AlleLa00,1994,2,46,DAL,Larry Allen HOF,G,G,58,22,2007,6,11,13,100,94,203,,,,,,,,,0,0,0,,,,Sonoma St.,,,,,,,,,,,,,,,
7,CladRy20,2008,1,12,DEN,Ryan Clady,T,T,57,22,2016,2,4,6,62,62,107,,,,,,,,,,,,4,,,Boise St.,,,,,,,,,,,,,,,
8,WisnSt00,1989,2,29,DAL,Steve Wisniewski,G,G,57,22,2001,2,8,13,103,,206,,,,,,,,,,,,,,Penn St.,,1989,Penn State,OG,75.8,275,,,,5.08,33,27.5,98,4.35,,
9,NickCa20,2008,5,164,NOR,Carl Nicks,T,T,56,23,2013,1,2,4,53,49,73,,,,,,,,,,,,2,,,Nebraska,2008,Nebraska,OT,76.88,341,10,34.75,,5.26,31,25.5,109,4.68,7.91,
10,McDaRa00,1988,1,19,MIN,Randall McDaniel HOF,G,G,55,23,2001,7,12,13,119,111,222,,,,,,2,1,0,1,2,1,,,Arizona St.,,,,,,,,,,,,,,,,
11,SmitTy00,2011,1,9,DAL,Tyron Smith,T,T,54,20,2016,1,3,5,49,49,88,,,,,,,,,,,,3,,,USC,2011,Southern California,OT,77,307,11,36.38,,5.08,29,,,,,
12,NewbTo20,1986,2,50,RAM,Tom Newberry,G,G,53,23,1995,2,2,10,72,66,147,,,,,,,,,,,,,,Wisc-LaCrosse,,,,,,,,,,,,,,,,
13,ThomJo28,2007,1,3,CLE,Joe Thomas,T,T,52,22,2016,6,9,10,78,78,155,,,,,,,,,,,,8,,,Wisconsin,2007,Wisconsin,OT,78.63,311,10.13,33.75,,4.94,28,33,110,4.88,7.95,
14,HutcSt00,2001,1,17,SEA,Steve Hutchinson,G,G,52,23,2012,5,7,11,96,43,169,,,,,,,,,,,,3,,,Michigan,2001,Michigan,OG,77.1,315,10.25,32.5,,5.14,31,33.5,106,4.74,7.82,
15,PounMa20,2010,1,18,PIT,Maurkice Pouncey,C,C,51,21,2016,2,4,5,48,48,73,,,,,,,,,1,0,0,3,,,Florida,2010,Florida,C,76.5,304,,,,5.25,,,95,4.92,7.74,
16,VasqLo20,2009,3,78,SDG,Louis Vasquez,G,G,50,22,2015,1,1,7,58,25,102,,,,,,,,,,,,1,,,,2009,Texas Tech,OG,76.75,333,,,,5.22,39,,,,,
17,LongJa20,2008,1,1,MIA,Jake Long,T,T,50,23,2016,1,4,6,53,46,104,,,,,,,,,,,,4,,,Michigan,2008,Michigan,OT,79,313,11,35.75,,5.26,37,27.5,102,4.73,7.44,
18,BrowDu20,2008,1,26,HOU,Duane Brown,T,T,50,23,2016,1,3,8,62,62,126,,,,,,,,,,,,6,,,Virginia Tech,2008,Virginia Tech,OT,76.13,315,10,34.25,,5.09,24,27.5,105,4.52,7.58,
19,KoppDa20,2003,5,164,NWE,Dan Koppen,C,C,50,24,2012,0,1,9,74,69,136,,,,,,,,,,,,2,,,,2003,Boston College,C,74.6,297,8.5,31.38,,5.31,27,28.5,101,4.46,8.24,
20,NewbJe00,1998,2,58,SFO,Jeremy Newberry,C,C,50,22,2008,0,2,7,54,47,120,,,,,,,,,,,,,,,California,1998,California,C,76.9,314,9.75,33.25,,5.44,27,27.5,99,4.77,8.34,
21,FaneAl00,1998,1,26,PIT,Alan Faneca,G,G,49,21,2010,6,9,13,114,99,206,,,,,,,,,,,,4,,,LSU,1998,Louisiana State,OG,76.6,322,10.25,33.75,,5.47,20,26,94,4.71,8.66,
22,McNeMa20,2006,2,50,SDG,Marcus McNeill,T,T,48,22,2011,0,2,6,48,48,82,,,,,,,,,,,,2,,,Auburn,2006,Auburn,OT,79.63,336,10.5,35.38,,5.09,,31,98,5,8.19,
23,GlenTa99,1997,1,19,IND,Tarik Glenn,T,T,48,21,2006,0,3,10,85,85,154,,,,,,,,,1,3,0,,,,California,1997,California,OT,77.3,354,9.5,33.63,,5.75,20,23,,,,
24,IupaMi20,2010,1,17,SFO,Mike Iupati,G,G,47,23,2016,1,4,6,53,42,97,,,,,,,,,1,10,0,5,,,Idaho,2010,Idaho,OG,77.13,331,,,,5.24,27,27.5,92,4.93,7.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,54.64,,,,,,,,,,,,,,,,,,,,,,,,,,,77.16944444,316.0555556,10.22428571,34.02,,5.228333333,27.1875,28.5,100.6,4.695333333,7.936666667,
