Name,Pos,Year,Tm,First4AV,College,HOF,Class,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
Patrick Willis,LB,2007,SFO,79,Mississippi,N,Top,73.1,242,9.75,34.0,,4.53,22.0,39.0,119.0,4.46,7.23,11.9
Ray Lewis,LB,1996,BAL,74,Miami (FL),Y,Top,72.4,235,9.38,34.13,,,,,,,,
Derrick Thomas,LB,1989,KAN,72,Alabama,Y,Top,74.5,234,,,,4.58,,,,,,
Derrick Brooks,LB,1995,TAM,65,Florida State,Y,Top,72.3,229,10.75,32.5,,4.71,,,,,,
DeMarcus Ware,LB,2005,DAL,64,Troy,N,Top,76.0,251,10.0,33.25,,4.6,27.0,38.5,122.0,4.07,6.83,10.93
Zach Thomas,LB,1996,MIA,64,Texas Tech,N,Top,71.0,233,9.25,30.63,,4.85,20.0,28.5,104.0,4.24,,11.91
Von Miller,LB,2011,DEN,63,Texas A&M,N,Top,74.63,246,9.25,33.5,,4.42,21.0,37.0,126.0,4.06,6.7,11.15
Lance Briggs,LB,2003,CHI,61,Arizona,N,Top,72.6,242,9.5,31.0,,4.78,25.0,33.0,113.0,,,
Brian Urlacher,LB,2000,CHI,60,New Mexico,Y,Top,75.9,258,9.88,33.0,,4.61,27.0,34.0,122.0,4.18,6.94,11.1
Luke Kuechly,LB,2012,CAR,57,Boston College,N,Top,75.25,242,9.75,31.0,,4.58,27.0,38.0,123.0,4.12,6.92,11.43
Clay Matthews,LB,2009,GNB,56,USC,N,Top,75.13,240,,,27.0,4.62,23.0,35.5,121.0,4.18,6.9,
David Harris,LB,2007,NYJ,54,Michigan,N,Top,74.25,243,9.13,32.88,,4.6,23.0,33.0,107.0,4.29,7.25,
Randall Godfrey,LB,1996,DAL,52,Georgia,N,Top,73.9,237,9.63,32.63,,,22.0,34.0,112.0,,,
Justin Houston,LB,2011,KAN,50,Georgia,N,Top,74.88,270,10.88,34.5,,4.62,30.0,36.5,125.0,4.37,6.95,11.46
Bryan Cox,LB,1991,MIA,50,Western Illinois,N,Top,75.3,235,9.5,31.5,,5.0,9.0,27.5,112.0,4.47,,12.51
Bobby Wagner,LB,2012,SEA,49,Utah State,N,Mid,73.0,241,,,,4.46,,,,,,
Jon Beason,LB,2007,CAR,49,Miami (FL),N,Mid,72.25,237,9.5,33.5,,4.76,19.0,,111.0,,,
Dexter Coakley,LB,1997,DAL,49,Appalachian State,N,Mid,69.6,215,9.75,32.5,,4.52,21.0,38.0,125.0,4.21,7.48,11.52
Kevin Hardy,LB,1996,JAX,49,Illinois,N,Mid,76.4,245,9.88,32.63,,4.81,16.0,32.0,119.0,4.04,,11.39
Chris Spielman,LB,1988,DET,48,Ohio State,N,Mid,72.0,234,9.25,,,4.9,23.0,32.5,109.0,4.13,,11.97
Jerod Mayo,LB,2008,NWE,46,Tennessee,N,Mid,73.25,242,9.25,32.88,,4.59,,32.0,114.0,4.29,7.31,11.89
Lofa Tatupu,LB,2005,SEA,46,USC,N,Mid,71.9,238,10.0,31.63,,4.84,23.0,35.0,113.0,4.16,7.31,
Nick Barnett,LB,2003,GNB,45,Oregon State,N,Mid,73.6,236,9.38,31.88,,4.69,32.0,34.5,123.0,4.07,6.97,11.23
Keith Bulluck,LB,2000,TEN,45,Syracuse,N,Mid,75.0,244,10.75,33.5,,4.47,,38.0,119.0,4.13,7.33,11.41
Al Wilson,LB,1999,DEN,44,Tennessee,N,Mid,71.8,239,8.75,31.5,,4.56,17.0,33.0,116.0,4.25,7.31,
James Laurinaitis,LB,2009,STL,43,Ohio State,N,Mid,73.88,244,,,,4.76,22.0,33.0,115.0,4.24,6.93,
Chad Greenway,LB,2006,MIN,43,Iowa,N,Mid,74.5,242,9.13,31.25,,4.8,16.0,33.5,117.0,4.22,7.0,11.4
Joey Porter,LB,1999,PIT,43,Colorado State,N,Mid,74.5,241,9.75,32.75,,4.68,27.0,39.0,122.0,4.41,7.37,12.11
Jamie Sharper,LB,1997,BAL,43,Virginia,N,Mid,74.9,240,9.25,32.88,,4.67,19.0,36.5,116.0,4.24,7.57,11.85
Levon Kirkland,LB,1992,PIT,43,Clemson,N,Mid,72.4,240,8.5,32.5,,4.92,20.0,32.5,116.0,4.13,,11.59
William Thomas,LB,1991,PHI,42,Texas A&M,N,Mid,74.5,207,10.5,32.5,,4.84,,33.5,115.0,4.03,,11.76
Donnie Edwards,LB,1996,KAN,41,UCLA,N,Mid,73.9,224,9.63,33.25,,4.78,17.0,30.0,114.0,4.54,,11.91
Daryl Smith,LB,2004,JAX,40,Georgia Tech,N,Mid,73.6,234,9.75,33.13,,4.67,24.0,,,,,
Curtis Lofton,LB,2008,ATL,39,Oklahoma,N,Mid,72.0,246,9.5,31.63,,4.85,23.0,24.5,105.0,4.56,7.69,
Will Witherspoon,LB,2002,CAR,39,Georgia,N,Mid,73.5,231,9.0,32.0,,4.63,25.0,38.0,120.0,4.21,7.09,11.56
Andre Collins,LB,1990,WAS,39,Penn State,N,Mid,73.5,224,10.38,31.38,,4.76,,34.5,116.0,4.33,,11.27
Lavonte David,LB,2012,TAM,38,Nebraska,N,Mid,72.63,233,8.75,31.75,,4.57,19.0,36.5,119.0,4.22,7.28,
Daryl Washington,LB,2010,ARI,38,TCU,N,Mid,73.75,230,,,,4.58,17.0,31.0,114.0,,,
Chad Brown,LB,1993,PIT,38,Colorado,N,Mid,74.5,236,10.5,32.88,,4.85,,33.0,117.0,4.15,,11.26
Rey Maualuga,LB,2009,CIN,37,USC,N,Mid,73.75,249,,,15.0,4.78,23.0,,107.0,,,
Kirk Morrison,LB,2005,OAK,37,San Diego State,N,Mid,73.0,235,9.25,31.5,,4.69,25.0,,,4.31,,
Kendrell Bell,LB,2001,PIT,37,Georgia,N,Mid,73.3,234,10.5,32.0,,4.62,24.0,38.5,124.0,4.5,7.25,11.61
Dwayne Rudd,LB,1997,MIN,37,Alabama,N,Mid,73.9,242,9.38,34.5,,4.65,29.0,39.5,115.0,4.23,7.21,11.43
Earl Holmes,LB,1996,PIT,37,Florida A&M,N,Mid,73.5,238,10.25,33.13,,4.85,23.0,31.0,108.0,4.47,,11.89
Winfred Tubbs,LB,1994,NOR,37,Texas,N,Mid,75.9,250,8.0,33.5,,,,,,,,
Johnny Holland,LB,1987,GNB,37,Texas A&M,N,Mid,73.8,226,10.25,33.0,,4.76,16.0,33.5,124.0,4.36,,11.89
Brian Cushing,LB,2009,HOU,36,USC,N,Mid,74.88,243,,,23.0,4.64,30.0,35.0,120.0,4.22,6.84,
DeMeco Ryans,LB,2006,HOU,36,Alabama,N,Mid,73.25,236,8.63,31.38,,4.67,23.0,39.0,129.0,4.17,7.19,12.08
Takeo Spikes,LB,1998,CIN,36,Auburn,N,Mid,72.9,234,9.75,32.75,,,27.0,37.0,124.0,4.14,7.84,11.56
Sam Cowart,LB,1998,BUF,36,Florida State,N,Mid,72.9,246,9.13,33.0,,,,30.5,112.0,4.28,7.84,11.94
Derrick Rodgers,LB,1997,MIA,36,Arizona State,N,Mid,73.1,223,8.88,33.38,,4.78,21.0,36.5,121.0,4.45,7.67,11.84
Marcus Washington,LB,2000,IND,35,Auburn,N,Mid,75.3,252,9.0,32.0,,4.7,,35.0,118.0,4.49,6.91,11.44
Chris Claiborne,LB,1999,DET,35,USC,N,Mid,74.4,248,8.63,31.63,,4.63,16.0,34.0,115.0,4.37,7.68,11.93
Lawrence Timmons,LB,2007,PIT,34,Florida State,N,Mid,72.9,234,9.25,33.0,,4.67,25.0,35.0,123.0,4.32,6.89,11.78
Akin Ayodele,LB,2002,JAX,34,Purdue,N,Mid,74.1,257,9.75,32.5,,4.86,26.0,35.0,119.0,4.12,7.0,11.56
Mike Peterson,LB,1999,IND,34,Florida,N,Mid,73.5,233,9.13,31.25,,4.47,18.0,36.0,118.0,4.08,7.07,
