Category,Overall Avg.,Top 25 Avg.,Bottom 25 Avg.,Pct. Change(%),Weighted Pct.
Height (in),70.761375,71.3424,71.412,0.0975101292849934,0.12244058029614853
Weight (lb),212.285,213.36,206.28,3.3743208464398116,4.237034711911361
Hand Size (in),9.240360110803325,9.2316,9.2312,0.004333037242464243,0.005440866485383627
Arm Length (in),30.993323529411764,31.456,30.4004,3.41306639248323,4.285686346118326
40 Yard,4.565329512893983,4.5076,4.6468,3.0411605348247788,3.8186951795478437
Bench Press,18.369774919614148,19.72,12.96,41.370869033047725,51.948174501517045
Vertical Leap (in),34.2605421686747,36.14,30.64,16.471997604073074,20.683399356233476
Broad Jump (in),117.20987654320987,121.56,111.92,8.257666609559704,10.36890730204602
Shuttle,4.24087786259542,4.2456,4.2704,0.5824330671677037,0.7313439460145837
3 Cone Drill,7.075818181818182,7.0212,7.2004,2.5201102548236456,3.1644277807184618
60 Yard Shuttle,11.590520231213873,11.608,11.6668,0.5052674996133135,0.6344494291113512
