Name,Pos,Year,Tm,First4AV,College,HOF,Class,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
Thurman Thomas,RB,1988,BUF,84,Oklahoma State,Y,Top,69.9,198,8.75,,,4.47,13.0,33.0,114.0,4.21,,11.39
LaDainian Tomlinson,RB,2001,SDG,80,TCU,Y,Top,70.3,221,9.0,31.0,,4.43,18.0,40.5,124.0,4.21,6.84,11.19
Ricky Watters,RB,1991,SFO,74,Notre Dame,N,Top,73.0,212,9.13,31.5,,4.71,18.0,34.5,111.0,4.41,,11.59
Edgerrin James,RB,1999,IND,73,Miami (FL),N,Top,72.0,216,8.88,30.0,,4.38,,,,3.88,6.87,
Terrell Davis,RB,1995,DEN,70,Georgia,Y,Top,71.6,213,9.0,30.88,,4.72,,35.0,120.0,4.41,,11.65
Marshall Faulk,RB,1994,IND,68,San Diego State,Y,Top,70.1,206,9.13,31.75,,,,,,,,
Ray Rice,RB,2008,BAL,66,Rutgers,N,Top,68.0,199,9.25,30.25,,4.46,23.0,31.5,119.0,4.2,6.65,
Eddie George,RB,1996,HOU,64,Ohio State,N,Top,74.6,238,10.13,33.25,,,,,,,,
Curtis Martin,RB,1995,NWE,63,Pittsburgh,Y,Top,71.3,203,9.25,31.88,,,16.0,41.5,131.0,4.1,,11.72
Ricky Williams,RB,1999,NOR,59,Texas,N,Top,70.8,244,7.75,29.5,,4.56,,37.0,124.0,,,
Warrick Dunn,RB,1997,TAM,59,Florida State,N,Top,68.0,176,8.5,30.75,,,,,,,,
Adrian Peterson,RB,2007,MIN,58,Oklahoma,N,Top,73.5,217,9.25,33.75,16.0,4.41,,38.5,127.0,4.4,7.09,
DeMarco Murray,RB,2011,DAL,51,Oklahoma,N,Top,71.63,213,9.25,32.0,,4.37,21.0,34.5,130.0,4.18,7.28,
Joseph Addai,RB,2006,IND,51,LSU,N,Top,71.25,214,9.5,31.38,,4.43,18.0,37.0,125.0,4.47,7.09,
Brian Westbrook,RB,2002,PHI,49,Villanova,N,Mid,68.4,200,10.13,29.5,,4.59,26.0,37.0,118.0,,7.09,
Jamal Lewis,RB,2000,BAL,48,Tennessee,N,Mid,71.8,240,10.25,32.0,,4.58,23.0,,,,,
Fred Taylor,RB,1998,JAX,48,Florida,N,Mid,71.9,226,9.63,32.5,,,20.0,,,,,
Corey Dillon,RB,1997,CIN,47,Washington,N,Mid,72.6,217,10.25,34.0,,,,,,,,
Edgar Bennett,RB,1992,GNB,47,Florida State,N,Mid,71.8,208,9.25,31.5,,4.75,,35.5,122.0,4.37,,11.96
Larry Johnson,RB,2003,KAN,46,Penn State,N,Mid,74.4,214,8.75,31.38,,4.55,19.0,,,,,
Deuce McAllister,RB,2001,NOR,46,Mississippi,N,Mid,73.1,222,9.13,31.5,,4.41,20.0,37.5,,,,
Ahman Green,RB,1998,SEA,45,Nebraska,N,Mid,71.8,213,9.5,31.25,,4.44,13.0,38.5,129.0,,,
Tiki Barber,RB,1997,NYG,40,Virginia,N,Mid,69.4,203,9.5,31.75,,4.56,15.0,35.5,120.0,4.0,7.18,11.19
Jamaal Charles,RB,2008,KAN,39,Texas,N,Mid,71.0,200,8.75,32.13,,4.41,,30.5,122.0,4.22,6.8,
Marion Barber,RB,2005,DAL,39,Minnesota,N,Mid,71.38,221,8.88,31.5,,4.53,20.0,40.0,122.0,,,
Napoleon Kaufman,RB,1995,OAK,37,Washington,N,Mid,68.5,182,8.5,29.5,,4.48,24.0,38.5,,,,
Marshawn Lynch,RB,2007,BUF,36,California,N,Mid,71.13,215,9.25,31.13,,4.48,20.0,35.5,125.0,4.55,7.05,11.8
DeAngelo Williams,RB,2006,CAR,36,Memphis,N,Mid,69.0,214,9.38,30.5,,4.49,25.0,35.5,121.0,,,
Ronnie Brown,RB,2005,MIA,36,Auburn,N,Mid,72.25,233,9.63,31.63,,4.46,18.0,34.0,117.0,4.08,7.1,
Julius Jones,RB,2004,DAL,36,Notre Dame,N,Mid,69.8,217,9.25,31.13,,4.46,,37.5,121.0,4.12,6.97,
Kevan Barlow,RB,2001,SFO,36,Pittsburgh,N,Mid,73.1,235,9.0,32.0,,4.56,,32.0,,,,
Lorenzo White,RB,1988,HOU,36,Michigan State,N,Mid,70.6,207,9.0,,,,,,,,,
Dorsey Levens,RB,1994,GNB,35,Georgia Tech,N,Mid,72.9,228,10.63,32.88,,4.6,18.0,37.5,118.0,4.42,,11.62
Knowshon Moreno,RB,2009,DEN,34,Georgia,N,Mid,70.63,217,,,,4.5,25.0,35.5,115.0,4.27,6.84,
Rudi Johnson,RB,2001,CIN,34,Auburn,N,Mid,69.6,227,9.0,30.5,,4.57,24.0,37.5,119.0,4.22,7.32,11.84
Antowain Smith,RB,1997,BUF,34,Houston,N,Mid,74.4,224,8.5,32.5,,4.48,15.0,36.5,117.0,,,
Eddie Lacy,RB,2013,GNB,33,Alabama,N,Mid,73.0,220,9.48,31.0,17.0,4.55,,,,,,
Jonathan Stewart,RB,2008,CAR,32,Oregon,N,Mid,70.25,235,9.13,31.5,,4.48,28.0,36.5,128.0,4.53,7.44,
Michael Bennett,RB,2001,MIN,32,Wisconsin,N,Mid,69.3,207,8.5,31.0,,4.44,13.0,39.5,130.0,,,
Travis Henry,RB,2001,BUF,32,Tennessee,N,Mid,69.1,223,8.0,30.0,,4.61,23.0,35.5,,,,
Duce Staley,RB,1997,PHI,32,South Carolina,N,Mid,71.1,220,8.88,31.0,,,,,,,,
Terry Kirby,RB,1993,MIA,32,Virginia,N,Mid,73.3,221,9.5,33.0,,4.64,18.0,38.0,120.0,4.14,,11.49
Doug Martin,RB,2012,TAM,31,Boise State,N,Mid,69.25,223,9.0,30.5,,4.46,28.0,36.0,120.0,4.16,6.79,11.29
DeShaun Foster,RB,2002,CAR,31,UCLA,N,Mid,73.0,222,,,,4.57,20.0,35.5,119.0,4.16,6.82,
Le'Veon Bell,RB,2013,PIT,30,Michigan State,N,Mid,73.38,230,9.58,,,4.6,24.0,31.5,118.0,4.24,6.75,
Alfred Morris,RB,2012,WAS,30,Florida Atlantic,N,Mid,69.88,219,10.25,31.38,,4.63,16.0,35.5,117.0,4.19,7.01,11.86
Darren McFadden,RB,2008,OAK,30,Arkansas,N,Mid,73.25,211,9.5,34.25,,4.38,,33.0,128.0,,,
Brandon Jacobs,RB,2005,NYG,30,Southern Illinois,N,Mid,76.3,267,10.63,33.63,,4.56,19.0,37.0,118.0,4.46,7.53,11.98
Kevin Faulk,RB,1999,NWE,30,LSU,N,Mid,67.6,205,9.13,29.75,,4.57,,34.0,114.0,4.09,7.14,
Leon Washington,RB,2006,NYJ,29,Florida State,N,Mid,67.88,201,9.0,29.0,,4.49,17.0,32.5,105.0,4.37,6.94,11.62
Kevin Jones,RB,2004,DET,29,Virginia Tech,N,Mid,72.1,227,8.63,30.88,,4.38,,38.0,120.0,,,
Bam Morris,RB,1994,PIT,29,Texas Tech,N,Mid,72.5,241,9.25,30.75,,,15.0,,,,,
Felix Jones,RB,2008,DAL,28,Arkansas,N,Mid,70.13,207,8.38,32.38,,4.5,,33.5,124.0,4.19,6.9,
Rashard Mendenhall,RB,2008,PIT,28,Illinois,N,Mid,70.13,225,10.88,31.38,,4.45,26.0,33.5,117.0,4.18,,
James Stewart,RB,1995,JAX,28,Tennessee,N,Mid,73.4,222,8.88,32.75,,,26.0,38.0,123.0,4.09,,
Natrone Means,RB,1993,SDG,28,North Carolina,N,Mid,70.4,255,9.13,31.88,,,18.0,,,,,
Harvey Williams,RB,1991,KAN,28,LSU,N,Mid,73.6,215,9.38,30.0,,,,,,,,
Mark Ingram,RB,2011,NOR,27,Alabama,N,Mid,69.13,215,9.5,30.75,,4.62,21.0,31.5,113.0,4.62,7.13,
Harold Green,RB,1990,CIN,27,South Carolina,N,Mid,73.5,216,10.0,31.63,,4.74,16.0,32.0,118.0,4.25,,
Giovani Bernard,RB,2013,CIN,26,North Carolina,N,Mid,68.38,202,9.38,28.0,25.0,4.53,19.0,33.5,122.0,4.12,6.91,11.41
Michael Turner,RB,2004,SDG,26,Northern Illinois,N,Mid,70.5,237,9.63,29.38,,4.49,22.0,31.0,114.0,4.15,7.5,
Karim Abdul-Jabbar,RB,1996,MIA,26,UCLA,N,Mid,70.0,194,9.75,31.13,,,,32.5,115.0,4.29,,11.54
Lamar Miller,RB,2012,MIA,25,Miami (FL),N,Mid,70.75,212,9.25,31.38,,4.34,,33.0,,,,
Stevan Ridley,RB,2011,NWE,25,LSU,N,Mid,71.25,225,9.25,31.88,,4.65,18.0,36.0,118.0,4.21,6.78,
Ladell Betts,RB,2002,WAS,25,Iowa,N,Mid,70.5,220,9.0,30.5,,4.6,23.0,38.0,115.0,4.06,7.06,11.33
Ricky Ervins,RB,1991,WAS,25,USC,N,Mid,67.0,200,9.5,27.5,,4.53,20.0,27.5,108.0,4.41,,12.07
Anthony Thomas,RB,2001,CHI,24,Michigan,N,Mid,73.6,229,10.0,32.0,,4.62,20.0,32.5,115.0,4.44,7.48,12.09
Tim Biakabutuka,RB,1996,CAR,24,Michigan,N,Mid,72.1,205,9.0,31.88,,,,,,,,
Troy Stradford,RB,1987,MIA,24,Boston College,N,Mid,68.8,192,,,,4.65,,31.0,116.0,4.55,,11.18
Shane Vereen,RB,2011,NWE,23,California,N,Mid,70.25,210,9.0,30.63,,4.49,31.0,34.0,115.0,4.28,6.95,11.58
Donald Brown,RB,2009,IND,23,Connecticut,N,Mid,70.25,210,,,,4.46,,41.5,125.0,4.1,6.93,11.3
Shonn Greene,RB,2009,NYJ,23,Iowa,N,Mid,70.5,227,,,,4.62,19.0,37.0,121.0,4.4,7.1,
Darren Sproles,RB,2005,SDG,23,Kansas State,N,Mid,66.1,187,8.25,28.25,,4.49,23.0,33.0,102.0,3.96,6.96,11.13
Tatum Bell,RB,2004,DEN,23,Oklahoma State,N,Mid,71.0,212,8.38,31.88,,4.39,25.0,38.5,117.0,,,
Chester Taylor,RB,2002,BAL,23,Toledo,N,Mid,70.8,213,9.75,30.13,,4.64,22.0,33.0,111.0,,,
Reuben Droughns,RB,2000,DET,23,Oregon,N,Mid,71.3,215,9.0,31.25,,4.68,13.0,30.0,115.0,4.41,7.34,12.38
Amp Lee,RB,1992,SFO,23,Florida State,N,Mid,71.1,200,9.38,30.38,,,,,,,,
Leonard Russell,RB,1991,NWE,23,Arizona State,N,Mid,73.8,237,9.88,31.0,,4.78,20.0,33.0,112.0,4.36,,12.2
John Stephens,RB,1988,NWE,23,Northwestern State (LA),N,Mid,72.1,220,8.5,,,4.41,23.0,35.5,116.0,4.22,,11.34
Jerious Norwood,RB,2006,ATL,21,Mississippi State,N,Mid,71.63,210,9.88,31.25,,4.4,15.0,36.5,122.0,4.25,6.81,11.52
Greg Hill,RB,1994,KAN,21,Texas A&M,N,Mid,70.6,207,8.5,30.5,,4.5,14.0,33.5,115.0,3.97,,11.15
Errict Rhett,RB,1994,TAM,21,Florida,N,Mid,70.8,211,10.0,30.0,,,28.0,32.5,113.0,,,
Robert Delpino,RB,1988,RAM,21,Missouri,N,Mid,71.4,201,9.5,,,4.54,13.0,34.0,120.0,4.15,,11.47
James Starks,RB,2010,GNB,20,Buffalo,N,Mid,74.13,218,,,,4.5,15.0,36.0,119.0,4.23,6.89,
Kevin Smith,RB,2008,DET,20,Central Florida,N,Mid,73.13,217,9.75,32.25,,4.56,,32.0,120.0,4.49,6.74,
Steve Slaton,RB,2008,HOU,20,West Virginia,N,Mid,69.13,197,8.75,32.25,,4.49,19.0,33.5,118.0,,,
Raymont Harris,RB,1994,CHI,20,Ohio State,N,Mid,72.0,225,9.25,32.0,,4.61,22.0,37.0,116.0,4.4,,11.59
Amos Zereoue,RB,1999,PIT,19,West Virginia,N,Bottom,67.4,203,9.0,29.75,,4.53,,,,4.09,,
Tyrone Wheatley,RB,1995,NYG,19,Michigan,N,Bottom,72.0,232,9.13,32.88,,4.53,,35.5,122.0,4.27,,11.88
Mario Bates,RB,1994,NOR,19,Arizona State,N,Bottom,72.6,217,9.5,33.25,,4.43,15.0,36.0,128.0,4.12,,11.33
Leroy Thompson,RB,1991,PIT,19,Penn State,N,Bottom,69.9,210,9.5,30.0,,4.6,13.0,32.5,112.0,4.13,,11.7
Trent Richardson,RB,2012,CLE,18,Alabama,N,Bottom,69.25,228,9.5,30.25,,4.49,,,,,,
Jacquizz Rodgers,RB,2011,ATL,18,Oregon State,N,Bottom,65.88,196,8.88,30.5,,4.59,,33.0,113.0,4.26,7.31,
Garrison Hearst,RB,1993,PHO,18,Georgia,N,Bottom,69.0,204,9.5,31.13,,,,,,,,
Derek Brown,RB,1993,NOR,18,Nebraska,N,Bottom,69.0,180,9.25,30.88,,4.63,13.0,38.0,127.0,3.91,,11.02
Adrian Murrell,RB,1993,NYJ,18,West Virginia,N,Bottom,70.3,206,8.75,31.5,,4.59,12.0,33.5,117.0,4.17,,11.4
Steve Broussard,RB,1990,ATL,18,Washington State,N,Bottom,66.3,201,8.0,28.0,,4.45,15.0,31.0,110.0,4.29,,11.47
Dexter Carter,RB,1990,SFO,18,Florida State,N,Bottom,68.6,168,8.25,28.63,,4.48,3.0,34.5,116.0,3.99,,11.11
Vince Workman,RB,1989,GNB,18,Ohio State,N,Bottom,70.0,195,,,,4.74,13.0,30.0,110.0,,,
Rod Bernstine,RB,1987,SDG,18,Texas A&M,N,Bottom,75.0,238,10.0,32.25,,4.68,18.0,29.5,112.0,4.39,,12.01
Toby Gerhart,RB,2010,MIN,17,Stanford,N,Bottom,72.0,231,,,,4.5,22.0,38.0,118.0,4.25,6.94,
Brandon Jackson,RB,2007,GNB,17,Nebraska,N,Bottom,69.88,210,10.13,31.38,,4.56,21.0,37.0,122.0,4.14,7.0,11.86
Olandis Gary,RB,1999,DEN,17,Georgia,N,Bottom,73.0,216,,,,4.71,22.0,34.0,116.0,4.13,7.15,
Terrell Fletcher,RB,1995,SDG,17,Wisconsin,N,Bottom,67.6,200,9.25,30.0,,,17.0,,,,,
Charlie Garner,RB,1994,PHI,17,Tennessee,N,Bottom,69.1,182,9.75,31.5,,,,,,,,
Gary Brown,RB,1991,HOU,17,Penn State,N,Bottom,70.1,220,9.25,30.0,,4.75,17.0,29.0,111.0,4.65,,
Darrell Thompson,RB,1990,GNB,17,Minnesota,N,Bottom,72.5,219,8.75,30.5,,4.62,16.0,34.5,114.0,,,
Gaston Green,RB,1988,RAM,17,UCLA,N,Bottom,70.3,189,8.5,,,4.32,8.0,33.5,119.0,4.27,,12.0
Keith Woodside,RB,1988,GNB,17,Texas A&M,N,Bottom,71.4,203,8.5,,,4.59,14.0,30.5,113.0,4.3,,11.42
Jeremy Hill,RB,2014,CIN,16,LSU,N,Bottom,72.63,233,10.38,32.63,,4.56,20.0,29.0,112.0,,,
Ronnie Hillman,RB,2012,DEN,16,San Diego State,N,Bottom,68.75,200,8.5,30.0,,4.42,17.0,37.0,,,,
Rodney Thomas,RB,1995,HOU,16,Texas A&M,N,Bottom,70.3,213,9.13,31.88,,4.54,,33.0,116.0,,,
Johnny Bailey,RB,1990,CHI,16,Texas A&M-Kingsville,N,Bottom,67.6,176,9.0,27.13,,4.6,,,108.0,,,
Mark Higgs,RB,1988,DAL,16,Kentucky,N,Bottom,67.0,195,8.5,,,4.53,17.0,43.0,126.0,4.16,,11.38
Devonta Freeman,RB,2014,ATL,15,Florida State,N,Bottom,68.25,206,9.63,29.38,,4.58,,31.5,116.0,4.26,7.11,
Andre Ellington,RB,2013,ARI,15,Clemson,N,Bottom,69.25,199,9.38,31.0,,4.61,,34.0,122.0,,,
Ben Tate,RB,2010,HOU,15,Auburn,N,Bottom,71.0,220,9.0,31.25,,4.34,26.0,40.5,124.0,4.12,6.91,
William Green,RB,2002,CLE,15,Boston College,N,Bottom,72.3,221,7.75,31.5,,4.65,27.0,42.0,121.0,,,
Glyn Milburn,RB,1993,DEN,15,Stanford,N,Bottom,68.3,177,8.63,29.13,,,16.0,,,,,
