Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2019,Azeez Al-Shaair,Florida Atlantic,LB,73,234,9.5,32.38,,,16,,,,,
2019,Otaro Alaka,Texas A&M,LB,75,239,9.75,33,,4.82,20,36,131,,,
2019,Dakota Allen,Texas Tech,LB,73,232,9.25,31.25,,4.77,23,31.5,116,6.88,4.04,
2019,Bryson Allen-Williams,South Carolina,LB,73,236,9.75,31.5,,4.88,14,,,7.4,,
2019,Jeff Allison,Frenso State,LB,71,228,10,32.25,,4.82,12,31,115,7.2,4.45,
2019,Cody Barton,Utah,LB,74,237,9.25,31.88,,4.64,30,32.5,116,6.9,4.03,11.47
2019,Ben Burr-Kirven,Washington,LB,72,230,8.88,31.88,,4.56,21,34.5,121,6.85,4.09,11.43
2019,Devin Bush,Michigan,LB,71,234,9.63,32,,4.43,21,40.5,124,6.93,4.23,
2019,Blake Cashman,Minnesota,LB,73,237,8.75,30.13,,4.5,18,37.5,124,6.95,4.12,
2019,Te'Von Coney,Notre Dame,LB,73,234,9.5,32.88,,,,,,,,
2019,Ryan Connelly,Wisconsin,LB,74,242,9.38,30.88,,4.66,,34.5,118,7.09,4.31,
2019,Deshaun Davis,Auburn,LB,71,234,10,31.25,,,25,31,111,,4.38,
2019,Tyrel Dodson,Texas A&M,LB,72,237,9.13,31.75,,4.6,24,,118,,,
2019,T.J. Edwards,Wisconsin,LB,72,230,9.38,31.25,,,16,,,,,
2019,Emeke Egbule,Houston,LB,74,245,9.25,33,,4.65,20,33,119,7.38,4.38,
2019,Joe Giles-Harris,Duke,LB,74,234,8.5,31.25,,4.75,17,29.5,111,,,
2019,Dre Greenlaw,Arkansas,LB,71,237,9.88,32.25,,,24,33,117,,,
2019,Nate Hall,Northwestern,LB,74,225,9.38,32.25,,,,,,,,
2019,Terez Hall,Missouri,LB,73,230,10.38,33.5,,,20,,,,,
2019,Terrill Hanks,New Mexico State,LB,74,242,9.75,33.5,,4.98,21,35.5,118,,,
2019,Chase Hansen,Utah,LB,75,222,9.38,30.5,,,,,,,,
2019,Gary Johnson,Texas,LB,72,226,10.25,31.25,,4.43,16,33.5,121,7.15,4.57,
2019,Jordan Jones,Kentucky,LB,74,234,9,31.75,,4.62,23,32.5,123,,4.37,
2019,Kendall Joseph,Clemson,LB,72,233,9.75,31.63,,,25,,,,,
2019,Vosean Joseph,Florida,LB,73,230,9.63,31.38,,,,,,,,
2019,Tre Lamar,Clemson,LB,75,253,9.5,32.25,,,,,,,,
2019,David Long,West Virginia,LB,71,227,10,30.75,,4.45,15,39.5,120,,,
2019,Bobby Okereke,Stanford,LB,73,239,10.13,34.5,,4.58,,33.5,122,7.25,4.26,
2019,Germaine Pratt,North Carolina State,LB,74,240,9.13,31.63,,4.57,24,32.5,116,,,
2019,Cameron Smith,Southern California,LB,74,238,10.38,32.38,,4.69,15,39,123,,4.23,
2019,Ty Summers,TCU,LB,73,241,10,31.5,,4.51,27,36,123,,,
2019,Sione Takitaki,BYU,LB,73,238,9.63,32,,4.63,24,37,125,7.21,4.28,
2019,Jahlani Tavai,Hawaii,LB,74,250,9,31.88,,,,,,,,
2019,Drue Tranquill,Notre Dame,LB,74,234,9.75,31.5,,4.57,31,37.5,122,6.94,4.14,
2019,Devin White,LSU,LB,72,237,9.75,32.13,,4.42,22,39.5,118,7.07,4.17,
2019,Mack Wilson,Alabama,LB,73,240,9.25,32.38,,,,32,117,,,
2018,Genard Avery,Memphis,ILB,73,248,10.13,31,,4.59,26,36,124,4.36,6.9,
2018,Keishawn Bierria,Washington,ILB,74,230,9.38,31.13,,4.79,21,30.5,117,,7.26,
2018,Jason Cabinda,Penn State,ILB,73,239,9.63,32,,,19,,,,,
2018,Jack Cichy,Wisconsin,ILB,74,238,9.5,32.13,,,18,,,,,
2018,Nick Deluca,North Dakota State,ILB,75,251,10.25,32.75,,4.85,18,29.5,112,4.23,7.09,
2018,Shaun Dion Hamilton,Alabama,ILB,72,228,10.25,31,,,20,,,,,
2018,Joel Iyiegbuniwe,Western Kentucky,ILB,73,229,10.25,32.63,,4.6,19,35,117,4.28,7.06,
2018,Malik Jefferson,Texas,ILB,75,236,9.63,32,,4.52,27,36,125,,,
2018,Josey Jewell,Iowa,ILB,73,234,10,32,,4.82,18,33,117,4.27,6.8,11.52
2018,Micah Kiser,Virginia,ILB,74,238,9.38,32,,4.66,,35.5,121,4.24,7.05,
2018,Christian Sam,Arizona State,ILB,74,244,10,31.5,,4.75,28,32,114,4.25,7.03,
2018,Tegray Scales,Indiana,ILB,72,230,8.63,30.75,,4.77,27,,,,,
2018,Andre Smith,North Carolina,ILB,72,237,10,33.13,,4.63,19,,,,,
2018,Roquan Smith,Georgia,ILB,73,236,10,32,,4.51,,,,,,
2018,Azeem Victor,Washington,ILB,73,240,9.38,33,,4.72,19,32.5,115,4.4,7.2,
2018,Chris Worley,Ohio State,ILB,74,238,9.25,31.25,,4.86,15,29.5,,,,
2018,Kenny Young,UCLA,ILB,73,236,9.5,32.38,,4.6,23,36,117,4.48,7.38,
2017,Kendell Beckwith,LSU,ILB,74.13,243,9.5,33,,,20,,,,,
2017,Ben Boulware,Clemson,ILB,72,238,10,30.5,,,20,29.5,111,,7.02,
2017,Ben Gedeon,Michigan,ILB,73.63,244,10,32.63,,4.75,27,34.5,119,4.39,6.98,11.84
2017,Connor Harris,Lindenwood (MO),ILB,71,242,9.38,30.13,25,4.73,18,33,114,4.18,7.13,
2016,Dominique Alexander,Oklahoma,ILB,72.25,232,9,32.25,,,17,28.5,104,,,
2016,Kentrell Brothers,Missouri,ILB,72.38,245,9.75,30.75,,4.89,19,28.5,110,4.11,6.99,
2016,Steven Daniels,Boston College,ILB,71.5,243,,,,4.86,16,32,112,4.54,7.33,
2016,Josh Forrest,Kentucky,ILB,75.13,249,9.5,33.5,,4.91,11,30.5,118,,,
2016,B.J. Goodson,Clemson,ILB,72.63,242,10,33.25,,4.69,30,34.5,118,4.51,7.05,
2016,C.J. Johnson,Mississippi,ILB,73.38,234,8.88,32.75,,4.81,,,,4.52,,
2016,Raphael Kirby,Miami (FL),ILB,72,236,9.88,31,,,27,,,,,
2016,Nick Kwiatkoski,West Virginia,ILB,74,243,9.5,31.75,,4.73,19,32,120,4.22,7.16,
2016,Blake Martinez,Stanford,ILB,73.63,237,10.88,31.63,,4.71,22,28.5,113,4.2,6.98,
2016,Tyler Matakevich,Temple,ILB,72,238,9.5,31.25,,4.81,22,31,112,4.5,7.19,
2016,Cassanova McKinzy,Auburn,ILB,73,248,9.88,31.25,,,21,,,,,
2016,Antonio Morrison,Florida,ILB,73,232,9,30.38,,,,,,,,
2016,Jared Norris,Utah,ILB,73.25,241,10.13,31.5,,4.8,19,29.5,114,4.52,,
2016,Gionni Paul,Utah,ILB,70.13,231,8.13,31,,5.05,22,31,113,,,
2016,Reggie Ragland,Alabama,ILB,73.25,247,9.88,32,,4.72,,31.5,116,4.28,,
2016,Nick Vigil,Utah State,ILB,74.38,239,10.25,32.38,,4.72,,31.5,115,4,6.73,
2016,Scooby Wright,Arizona,ILB,71,239,9.75,30.5,,4.9,22,31,113,4.47,,
2015,Quinton Alston,Iowa,ILB,73,232,,,,4.69,,,,,,
2015,Stephone Anthony,Clemson,ILB,74.63,243,10.38,32.5,23,4.56,23,37,122,4.03,7.07,
2015,Henry Coley,Virginia,ILB,73,239,,,,4.95,,,,,,
2015,Lamar Dawson,USC,ILB,73,230,,,,4.78,,,,,,
2015,Paul Dawson,TCU,ILB,72.13,235,9.5,31.5,20,4.93,21,28,109,4.49,,
2015,Trey DePriest,Alabama,ILB,72.38,254,9,31.63,,4.92,,,,,,
2015,Steve Edmond,Texas,ILB,75,253,,,,4.84,,,,,,
2015,Cole Farrand,Maryland,ILB,75,244,,,,4.86,,,,,,
2015,Curtis Grant,Ohio State,ILB,75,240,,,,4.73,,,,,,
2015,Bryce Hager,Baylor,ILB,72.75,234,9,31.38,,4.6,26,35,117,4.36,7.15,
2015,Ben Heeney,Kansas,ILB,72.25,231,9,30.75,,4.59,19,33.5,120,4,6.68,11.06
2015,Amarlo Herrera,Georgia,ILB,72.63,244,9.63,32.75,,4.83,23,32,111,4.27,7.35,
2015,A.J. Johnson,Tennessee,ILB,74,242,,,,4.79,,,,,,
2015,Jabral Johnson,Oregon State,ILB,73,224,,,,4.84,,,,,,
2015,Taiwan Jones,Michigan State,ILB,74.63,245,10,34,,4.95,19,32,115,4.33,7.25,
2015,Eric Kendricks,UCLA,ILB,72.25,232,9.63,31,14,4.61,19,38,124,,,
2015,Qushaun Lee,Arkansas State,ILB,71,225,,,,4.78,,,,,,
2015,Jeff Luc,Cincinnati,ILB,73,263,,,,4.83,,,,,,
2015,D.J. Lynch,Bowling Green (OH),ILB,73,249,,,,4.77,,,,,,
2015,Marcus Mallett,TCU,ILB,73,227,,,,4.62,,,,,,
2015,David Mayo,Texas State,ILB,73,242,,,,4.83,,,,,,
2015,Benardrick McKinney,Mississippi State,ILB,76.13,246,9,33,14,4.66,16,40.5,121,4.27,7.21,
2015,Karl Mickelsen,Fresno State (CA),ILB,73,234,,,,4.83,,,,,,
2015,Kendall Moore,Notre Dame,ILB,73,242,,,,4.65,,,,,,
2015,Max Morgan,Colorado State,ILB,73,231,,,,4.79,,,,,,
2015,Quayshawn Nealy,Georgia Tech,ILB,73,237,,,,4.82,,,,,,
2015,Cameron Nwosu,Southern Methodist (TX),ILB,70,240,,,,4.76,,,,,,
2015,Denzel Perryman,Miami (FL),ILB,70.75,236,9.5,31.88,17,4.78,27,32,113,,,
2015,Terrance Plummer,Central Florida,ILB,71,235,,,,4.93,,,,,,
