Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2019,Rodney Anderson,Oklahoma,RB,72,224,9.75,30.75,,,25,,,,,
2019,Ryquell Armstead,Temple,RB,71,220,9.13,30.63,,4.45,22,30,114,4.29,7.02,
2019,Alex Barnes,Kansas State,RB,72,226,10,31,,4.59,34,38.5,126,4.1,6.95,11.72
2019,Nick Brossette,LSU,RB,71,209,8.63,30,,4.72,15,35.5,118,4.44,7.38,
2019,Myles Gaskin,Washington,RB,69,205,8.75,29.5,,4.58,24,35.5,118,4.27,7.19,11.77
2019,Damien Harris,Alabama,RB,70,216,9.75,30.75,,4.57,16,37,121,,,
2019,Darrell Henderson,Memphis,RB,68,208,8.63,31,,4.49,22,33.5,121,,,
2019,Karan Higdon,Michigan,RB,69,206,9.63,30.75,,4.49,21,34,123,,,
2019,Justice Hill,Oklahoma State,RB,70,198,9.5,31.63,,4.4,21,40,130,,,
2019,Elijah Holyfield,Georgia,RB,70,217,9,30.38,,4.78,26,29.5,118,,,
2019,Travis Homer,Miami (FL),RB,70,201,10,31.5,,4.48,17,39.5,130,4.31,7.07,
2019,Josh Jacobs,Alabama,RB,70,220,10.13,31.63,,,,,,,,
2019,Jonathan Love,Stanford,RB,69,200,9.13,29.38,,,18,,,,,
2019,Alexander Mattison,Boise State,RB,71,221,9.13,31,,4.67,22,35,127,4.29,7.13,11.69
2019,David Montgomery,Iowa State,RB,70,222,9.25,31.38,,4.63,15,28.5,121,,,
2019,Jalin Moore,Appalachian State (NC),RB,70,212,9.25,32.38,,,27,,,,,
2019,Qadree Ollison,Pittsburgh,RB,73,228,9.63,31.5,,4.58,19,29.5,114,4.31,7.53,
2019,Tony Pollard,Memphis,RB,72,210,9.5,30,,4.52,13,35,121,,,
2019,Miles Sanders,Penn State,RB,71,211,9.25,30.63,,4.49,20,36,124,4.19,6.89,
2019,Jordan Scarlett,Florida,RB,71,208,8.88,30.38,,4.47,21,30,116,4.63,7.37,
2019,LJ Scott,Michigan State,RB,72,227,9.38,32.13,,,21,33,120,4.34,7.27,
2019,Devin Singletary,Florida Atlantic,RB,67,203,8.5,28.88,,4.66,15,35,117,4.4,7.32,
2019,Benny Snell,Kentucky,RB,70,224,9.38,31,,4.66,16,29.5,119,4.33,7.07,
2019,Mike Weber,Ohio State,RB,70,211,9.38,29.75,,4.47,22,33.5,,,,
2019,Dexter Williams,Notre Dame,RB,71,212,9.63,32.25,,4.57,17,36,130,4.16,7,
2019,James Williams,Washington State,RB,69,197,9.25,30.38,,4.58,,36.5,118,4.25,7.01,12.2
2019,Trayveon Williams,Texas A&M,RB,68,206,9.25,30.38,,4.51,19,33,121,4.44,7.44,
2018,Josh Adams,Notre Dame,RB,74,213,9.25,33.75,,,18,,,,,
2018,Kalen Ballage,Arizona State,RB,73,228,9.5,32.75,,4.46,15,33.5,122,4.35,6.91,
2018,Saquon Barkley,Penn State,RB,72,233,9.5,31.38,,4.4,29,41,,4.24,,
2018,Nick Chubb,Georgia,RB,71,227,9.63,32,,4.52,29,38.5,128,4.25,7.09,
2018,Lavon Coleman,Washington,RB,71,215,9.25,30.5,,4.65,23,33,120,,,
2018,Justin Crawford,West Virginia,RB,71,199,9.13,32,,4.64,11,33.5,122,,,
2018,Chase Edmonds,Fordham (NY),RB,69,205,9.13,31.13,,4.55,19,34,122,4.07,6.79,11.63
2018,Jarvion Franklin,Western Michigan,RB,71,239,9.25,31.25,,4.63,18,30,109,4.31,6.93,11.81
2018,Royce Freeman,Oregon,RB,71,229,9.5,32,,4.54,17,34,118,4.16,6.9,11.64
2018,Derrius Guice,LSU,RB,70,224,9.75,30.75,,4.49,15,31.5,,,,
2018,Kyle Hicks,TCU,RB,70,204,9.5,32.5,,4.63,13,36.5,122,,,
2018,Nyheim Hines,North Carolina State,RB,68,198,8.88,30.75,,4.38,,35.5,119,4.35,7.18,
2018,Justin Jackson,Northwestern,RB,72,199,9.25,30.63,,4.52,13,38.5,122,4.07,6.81,11.06
2018,Kerryon Johnson,Auburn,RB,71,213,9.75,32.5,,,11,40,126,4.29,7.07,
