Player_Id,Year,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ
WillPa98,2007,1,11,SFO,Patrick Willis,LB,LB,79,22,2014,5,7,7,92,92,112,,,,,,,,,,,,732,8,20.5,Mississippi
LewiRa00,1996,1,26,BAL,Ray Lewis HOF,LB,LB,74,21,2012,7,13,14,160,160,228,,,,,,,,,,,,1562,31,41.5,Miami (FL)
ThomDe01,1989,1,4,KAN,Derrick Thomas HOF,LB,LB,72,22,1999,2,9,11,106,106,169,,,,,,,,,,,,,1,126.5,Alabama
BrooDe00,1995,1,28,TAM,Derrick Brooks HOF,LB,LB,65,22,2008,5,11,13,144,144,224,,,,,,,,,,,,1297,25,13.5,Florida State
WareDe99,2005,1,11,DAL,DeMarcus Ware,LB,LB,64,23,2016,4,9,11,99,87,173,,,,,,,,,,,,499,3,136.5,Troy
ThomZa01,1996,5,154,MIA,Zach Thomas,LB,LB,64,23,2008,5,7,11,118,115,184,,,,,,,,,,,,1100,17,20.5,Texas Tech
MillVo00,2011,1,2,DEN,Von Miller,LB,LB,63,22,2016,2,4,6,58,58,82,,,,,,,,,,,,239,1,69.5,Texas A&M
SeauJu00,1990,1,5,SDG,Junior Seau HOF,LB,LB,62,21,2009,6,12,15,130,122,268,,,,,,,,,2,8,0,,18,56.5,USC
BrigLa99,2003,3,68,CHI,Lance Briggs,LB,LB,61,22,2014,1,7,12,98,98,173,,,,,,,,,,,,936,,,Arizona
UrlaBr00,2000,1,9,CHI,Brian Urlacher HOF,LB,LB,60,22,2012,4,8,12,118,118,182,0,1,0,0,0,,,,1,27,1,1040,22,41.5,New Mexico
KuecLu00,2012,1,9,CAR,Luke Kuechly,LB,LB,57,21,2016,3,3,5,53,53,71,,,,,,,,,,,,453,12,9,Boston College
MattCl99,2009,1,26,GNB,Clay Matthews,LB,LB,56,23,2016,1,6,6,70,70,107,,,,,,,,,,,,303,,,USC
HarrDa99,2007,2,47,NYJ,David Harris,LB,LB,54,23,2016,0,0,9,77,77,148,,,,,,,,,,,,681,6,35,Michigan
BowmNa99,2010,3,91,SFO,NaVorro Bowman,LB,LB,52,22,2016,4,3,4,61,61,84,,,,,,,,,,,,505,4,12.5,Penn State
TrotJe00,1998,3,72,PHI,Jeremiah Trotter,LB,LB,52,21,2009,1,4,8,76,66,147,,,,,,,,,,,,722,9,12.5,Stephen F. Austin
GodfRa20,1996,2,49,DAL,Randall Godfrey,LB,LB,52,23,2007,0,0,9,72,28,170,,,,,,,,,,,,653,6,17,Georgia
HousJu00,2011,3,70,KAN,Justin Houston,LB,LB,50,22,2016,1,4,5,46,46,71,,,,,,,,,,,,225,3,56,Georgia
CoxxBr00,1991,5,113,MIA,Bryan Cox,LB,LB,50,23,2002,1,3,10,72,45,165,,,,,,,,,1,7,0,4,51.5,,Western Illinois
HarrTi00,1986,4,84,GNB,Tim Harris,LB,LB,50,22,1995,1,1,6,58,46,122,,,,,,,,,,,,,81,,Memphis
WagnBo00,2012,2,47,SEA,Bobby Wagner,LB,LB,49,22,2016,1,2,5,46,46,66,,,,,,,,,,,,383,6,12,Utah State
BeasJo99,2007,1,25,CAR,Jon Beason,LB,LB,49,22,2015,1,3,5,55,47,93,,,,,,,,,,,,526,10,4,Miami (FL)
CoakDe00,1997,3,65,DAL,Dexter Coakley,LB,LB,49,24,2006,0,3,9,68,65,155,,,,,,2,59,0,,,,599,13,9.5,Appalachian State
