Player_Id,Year,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ
ThomTh00,1988,2,40,BUF,Thurman Thomas HOF,RB,RB,84,22,2000,2,5,10,112,111,182,0,1,0,0,0,2877,12074,65,472,4458,23,,,,Oklahoma State
SmitEm00,1990,1,17,DAL,Emmitt Smith HOF,RB,RB,82,21,2004,4,8,14,129,127,226,1,1,21,1,0,4409,18355,164,515,3224,11,,,,Florida
TomlLa00,2001,1,5,SDG,LaDainian Tomlinson HOF,RB,RB,80,22,2011,3,5,10,128,121,170,8,12,143,7,0,3174,13684,145,624,4772,17,8,,,TCU
WattRi00,1991,2,45,SFO,Ricky Watters,RB,RB,74,22,2001,0,5,8,102,45,144,1,2,1,1,0,2622,10643,78,467,4248,13,,,,Notre Dame
JameEd00,1999,1,4,IND,Edgerrin James,RB,RB,73,21,2009,1,4,8,114,98,148,,,,,,3028,12246,80,433,3364,11,10,,,Miami (FL)
DaviTe00,1995,6,196,DEN,Terrell Davis HOF,RB,RB,70,22,2001,3,3,4,72,72,78,,,,,,1655,7607,60,169,1280,5,1,,,Georgia
FaulMa00,1994,1,2,IND,Marshall Faulk HOF,RB,RB,68,21,2005,3,7,11,133,52,176,0,2,0,0,0,2836,12279,100,767,6875,36,9,,,San Diego State
SandBa00,1989,1,3,DET,Barry Sanders HOF,RB,RB,68,21,1998,6,10,10,120,120,153,1,4,11,0,1,3062,15269,99,352,2921,10,,,,Oklahoma State
RiceRa00,2008,2,55,BAL,Ray Rice,RB,RB,66,21,2013,0,3,5,64,64,92,1,2,1,1,0,1430,6180,37,369,3034,6,5,,,Rutgers
GeorEd00,1996,1,14,HOU,Eddie George,RB,RB,64,23,2004,1,4,9,77,75,141,,,,,,2865,10441,68,268,2227,10,4,,,Ohio State
DrewMa00,2006,2,60,JAX,Maurice Jones-Drew,RB,RB,63,21,2014,1,3,4,72,72,126,1,2,8,1,1,1847,8167,68,346,2944,11,18,,,UCLA
MartCu00,1995,3,74,NWE,Curtis Martin HOF,RB,RB,63,22,2005,1,5,11,101,26,168,2,2,36,2,0,3518,14101,90,484,3329,10,6,,,Pittsburgh
JohnCh04,2008,1,24,TEN,Chris Johnson,RB,RB,61,23,2016,1,3,7,70,63,126,0,1,0,0,0,2118,9537,55,302,2212,9,8,,,East Carolina
WillRi00,1999,1,5,NOR,Ricky Williams,RB,RB,59,22,2011,1,1,5,76,26,147,1,3,34,0,1,2431,10009,66,342,2606,8,17,,,Texas
DunnWa00,1997,1,12,TAM,Warrick Dunn,RB,RB,59,22,2008,0,3,9,95,53,181,0,0,0,0,0,2669,10967,49,510,4339,15,14,,,Florida State
PeteAd01,2007,1,7,MIN,Adrian Peterson,RB,RB,58,22,2016,4,7,8,88,88,122,,,,,,2412,11725,97,240,1944,5,16,,,Oklahoma
PortCl00,2002,2,51,DEN,Clinton Portis,RB,RB,56,21,2010,0,2,7,71,30,113,3,6,47,3,0,2230,9923,75,247,2018,5,16,,,Miami (FL)
WalkHe00,1985,5,114,DAL,Herschel Walker,RB,RB,55,23,1997,0,2,8,79,37,187,1,3,12,0,0,1954,8225,61,512,4859,21,,,,Georgia
McCoLe01,2009,2,53,PHI,LeSean McCoy,RB,RB,54,21,2016,2,4,6,61,55,111,,,,,,1802,8403,54,358,2718,13,6,,,Pittsburgh
FortMa00,2008,2,44,CHI,Matt Forte,RB,RB,53,22,2016,0,2,9,75,75,130,0,1,0,0,0,2224,9334,52,510,4295,20,21,,,Tulane
AlexSh00,2000,1,19,SEA,Shaun Alexander,RB,RB,53,23,2008,1,3,7,70,70,123,,,,,,2187,9453,100,215,1520,12,3,,,Alabama
MurrDe00,2011,3,71,DAL,DeMarco Murray,RB,RB,51,23,2016,1,2,5,48,43,79,1,1,10,1,0,1339,6228,42,254,1786,5,5,,,Oklahoma
AddaJo00,2006,1,30,IND,Joseph Addai,RB,RB,51,23,2011,0,1,4,50,50,78,1,1,22,1,0,1095,4453,39,191,1448,9,5,,,LSU
GoreFr00,2005,3,65,SFO,Frank Gore,RB,RB,51,22,2016,0,5,11,81,77,175,,,,,,2880,12710,74,405,3354,15,12,,,Miami (FL)
JackSt00,2004,1,24,STL,Steven Jackson,RB,RB,49,21,2015,0,3,10,74,67,160,1,1,2,1,0,2764,11438,69,461,3683,9,10,,,Oregon State
WestBr00,2002,3,91,PHI,Brian Westbrook,RB,RB,49,23,2010,1,2,6,69,68,121,1,2,25,1,0,1385,6335,41,442,3940,30,16,,,Villanova
LewiJa00,2000,1,5,BAL,Jamal Lewis,RB,RB,48,21,2009,1,1,9,71,53,131,,,,,,2542,10607,58,221,1879,4,8,,,Tennessee
TaylFr00,1998,1,9,JAX,Fred Taylor,RB,RB,48,22,2010,0,1,10,88,86,153,,,,,,2534,11695,66,290,2384,8,4,,,Florida
AndeNe00,1986,1,27,CHI,Neal Anderson,RB,RB,48,22,1993,0,4,7,60,60,116,0,3,0,0,0,1515,6166,51,302,2763,20,,,,Florida
DillCo00,1997,2,43,CIN,Corey Dillon,RB,RB,47,22,2006,0,4,10,74,50,150,0,1,0,0,1,2618,11241,82,244,1913,7,5,,,Washington
BennEd00,1992,4,103,GNB,Edgar Bennett,RB,RB,47,23,1999,0,0,5,48,43,112,1,2,18,1,0,1115,3992,21,284,2245,10,,,,Florida State
HampRo00,1990,1,24,NYG,Rodney Hampton,RB,RB,47,21,1997,0,2,6,54,54,104,,,,,,1824,6897,49,174,1309,2,,,,Georgia
JohnLa00,2003,1,27,KAN,Larry Johnson,RB,RB,46,23,2011,1,2,4,51,50,85,1,3,4,1,0,1427,6223,55,154,1373,6,8,,,Penn State
McAlDe00,2001,1,23,NOR,Deuce McAllister,RB,RB,46,22,2008,0,2,4,55,55,97,1,4,12,1,0,1429,6096,49,234,1720,5,13,,,Mississippi
